mutant-id|timeToExecute|0--0-passes a basic sanity check|1--1-uses it|2--2-uses it
MUTANT 247|3966ms|1|1|1
MUTANT 248|4026ms|1|1|1
MUTANT 249|3896ms|1|1|1
MUTANT 250|4083ms|1|1|1
MUTANT 251|4196ms|1|1|1
MUTANT 252|3898ms|1|1|1
MUTANT 253|4060ms|1|1|1
MUTANT 254|3983ms|1|1|1
MUTANT 255|3793ms|1|1|1
MUTANT 256|3750ms|1|1|1
MUTANT 257|3730ms|1|1|1
MUTANT 258|3534ms|1|1|1
MUTANT 259|3462ms|1|1|1
MUTANT 261|3098ms|1|1|1
MUTANT 260|3475ms|1|0|0
MUTANT 262|3214ms|1|1|1
MUTANT 263|3171ms|1|1|1
MUTANT 264|3017ms|1|1|1
MUTANT 265|3072ms|1|1|1
MUTANT 266|3056ms|1|1|1
MUTANT 267|3043ms|1|1|1
MUTANT 268|3166ms|1|1|1
MUTANT 269|3011ms|1|1|1
MUTANT 270|3084ms|1|1|1
MUTANT 271|3088ms|1|1|1
MUTANT 273|2952ms|1|0|0
MUTANT 272|3076ms|1|0|0
MUTANT 274|2937ms|1|0|0
MUTANT 275|2861ms|1|0|0
MUTANT 276|2651ms|1|1|1
MUTANT 277|2882ms|1|1|1
MUTANT 278|2650ms|1|1|1
MUTANT 279|2729ms|1|1|1
MUTANT 280|2527ms|1|0|0
MUTANT 281|2583ms|1|0|0
MUTANT 282|2709ms|1|1|1
MUTANT 283|2495ms|1|1|1
MUTANT 284|2527ms|1|1|1
MUTANT 285|2480ms|1|1|1
MUTANT 286|2580ms|1|1|1
MUTANT 287|2681ms|1|1|1
MUTANT 288|2580ms|-2|-2|-2
MUTANT 289|2528ms|1|1|1
MUTANT 290|2533ms|1|1|1
MUTANT 291|2511ms|-2|-2|-2
MUTANT 292|2525ms|1|0|0
MUTANT 293|2572ms|1|0|0
MUTANT 294|2555ms|1|1|1
MUTANT 295|2512ms|1|1|1
MUTANT 296|2606ms|1|1|1
MUTANT 297|2542ms|1|1|1
MUTANT 298|2923ms|1|1|1
MUTANT 299|2884ms|1|1|1
MUTANT 300|2878ms|1|1|1
MUTANT 301|2711ms|1|1|1
MUTANT 302|2792ms|1|0|0
MUTANT 303|2912ms|1|1|1
MUTANT 304|3247ms|-2|-2|-2
MUTANT 305|3402ms|1|1|1
MUTANT 306|3169ms|1|1|1
MUTANT 307|3128ms|1|1|1
MUTANT 308|2602ms|1|1|1
MUTANT 309|3013ms|1|1|1
MUTANT 310|2591ms|-2|-2|-2
MUTANT 311|2794ms|1|1|1
MUTANT 312|2682ms|1|1|1
MUTANT 313|2722ms|1|1|1
MUTANT 314|2930ms|1|1|1
MUTANT 315|2772ms|1|0|0
MUTANT 316|2749ms|1|0|0
MUTANT 317|2904ms|1|1|1
MUTANT 318|2764ms|1|1|1
MUTANT 319|2723ms|1|1|1
MUTANT 320|2940ms|1|0|0
MUTANT 321|2839ms|1|1|1
MUTANT 322|2764ms|-2|-2|-2
MUTANT 323|2876ms|1|1|1
MUTANT 324|2834ms|1|1|1
MUTANT 325|2868ms|1|1|1
MUTANT 326|2931ms|1|1|1
MUTANT 327|3211ms|1|1|1
MUTANT 328|3042ms|1|1|1
MUTANT 329|2977ms|1|0|0
MUTANT 330|2936ms|1|1|1
MUTANT 331|3094ms|1|1|1
MUTANT 332|2958ms|1|0|0
MUTANT 333|3119ms|-2|-2|-2
MUTANT 334|3363ms|-2|-2|-2
MUTANT 335|2960ms|-2|-2|-2
MUTANT 336|3398ms|1|0|0
MUTANT 337|3056ms|1|0|0
MUTANT 339|3008ms|-2|-2|-2
MUTANT 338|3268ms|-2|-2|-2
MUTANT 340|3395ms|-2|-2|-2
MUTANT 341|3320ms|1|1|1
MUTANT 342|3151ms|-2|-2|-2
MUTANT 343|3462ms|-2|-2|-2
MUTANT 344|3478ms|-2|-2|-2
MUTANT 345|3383ms|-2|-2|-2
MUTANT 346|3370ms|1|0|0
MUTANT 347|3386ms|1|1|1
MUTANT 348|3576ms|-2|-2|-2
MUTANT 349|3622ms|-2|-2|-2
MUTANT 350|3601ms|1|1|1
MUTANT 351|3739ms|1|1|1
MUTANT 352|4239ms|1|1|1
MUTANT 353|4006ms|-2|-2|-2
MUTANT 354|4160ms|1|0|0
MUTANT 355|4252ms|-2|-2|-2
MUTANT 356|3835ms|1|1|1
MUTANT 357|3990ms|1|1|1
MUTANT 358|3998ms|1|1|1
MUTANT 359|4053ms|1|1|1
MUTANT 360|3788ms|1|0|0
MUTANT 361|3919ms|1|0|0
MUTANT 362|3784ms|1|0|0
MUTANT 363|3701ms|1|1|1
MUTANT 364|3911ms|1|1|1
MUTANT 365|3972ms|1|1|1
MUTANT 366|4086ms|1|1|1
MUTANT 367|3954ms|1|0|0
MUTANT 368|3948ms|1|1|1
MUTANT 369|3950ms|1|1|1
MUTANT 370|3861ms|1|1|1
MUTANT 371|3747ms|1|1|1
MUTANT 372|3766ms|1|1|1
MUTANT 373|3689ms|1|1|1
MUTANT 374|3766ms|1|1|1
MUTANT 375|3767ms|1|1|1
MUTANT 376|3974ms|1|1|1
MUTANT 377|3886ms|1|1|1
MUTANT 378|3713ms|1|1|1
MUTANT 379|3733ms|1|1|1
MUTANT 380|5580ms|1|1|1
MUTANT 382|5043ms|1|0|0
MUTANT 381|5320ms|1|0|0
MUTANT 383|5288ms|1|1|1
MUTANT 384|4835ms|1|0|0
MUTANT 385|4890ms|1|1|1
MUTANT 386|5019ms|1|1|1
MUTANT 387|5089ms|1|1|1
MUTANT 390|4689ms|1|1|1
MUTANT 388|4944ms|-2|-2|-2
MUTANT 389|4944ms|1|1|1
MUTANT 391|5058ms|1|1|1
MUTANT 393|4025ms|-2|-2|-2
MUTANT 392|4099ms|-2|-2|-2
MUTANT 394|4247ms|1|1|1
MUTANT 395|4147ms|1|1|1
MUTANT 396|3849ms|1|1|1
MUTANT 397|3959ms|1|0|0
MUTANT 398|3892ms|1|1|1
MUTANT 399|4299ms|1|1|1
MUTANT 400|4122ms|1|1|1
MUTANT 401|4064ms|1|0|0
MUTANT 402|4029ms|1|1|1
MUTANT 403|3917ms|1|1|1
MUTANT 404|3767ms|1|1|1
MUTANT 405|3797ms|1|1|1
MUTANT 406|3920ms|1|1|1
MUTANT 407|3737ms|1|1|1
MUTANT 408|3632ms|1|1|1
MUTANT 409|3772ms|1|1|1
MUTANT 410|3638ms|1|1|1
MUTANT 411|3700ms|1|1|1
MUTANT 412|3329ms|1|1|1
MUTANT 413|3426ms|1|1|1
MUTANT 414|3417ms|1|1|1
MUTANT 415|3224ms|1|1|1
MUTANT 416|3074ms|1|1|1
MUTANT 417|3268ms|1|1|1
MUTANT 418|3268ms|1|1|1
MUTANT 419|3065ms|1|1|1
MUTANT 420|3120ms|1|1|1
MUTANT 421|3077ms|1|1|1
MUTANT 422|3148ms|1|1|1
MUTANT 423|3233ms|1|1|1
MUTANT 424|3096ms|1|1|1
MUTANT 425|2975ms|1|1|1
MUTANT 426|2943ms|1|1|1
MUTANT 427|2931ms|1|0|0
MUTANT 428|2429ms|1|1|1
MUTANT 429|2290ms|1|0|0
MUTANT 430|2217ms|1|1|1
MUTANT 434|2581ms|1|1|1
MUTANT 431|2706ms|1|1|1
MUTANT 432|2772ms|1|1|1
MUTANT 433|2870ms|1|1|1
